,Name,Rating,Reviews,Type,Head Quarter,Old,Employees
0,TCS,3.9,(47.7k Reviews),Public,"Mumbai,Maharashtra + 267 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.2,(31.5k Reviews),Public,Dublin + 140 more,33 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(28.7k Reviews),Private,Teaneck. New Jersey. + 95 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(34.0k Reviews),Public,"Mumbai,Maharashtra + 1023 more",28 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(38.6k Reviews),Public,"Mumbai,Maharashtra + 1184 more",28 years old,1 Lakh+ Employees (India)
5,Wipro,3.9,(27.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 228 more",77 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(27.3k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 121 more",41 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(23.3k Reviews),Public,Paris + 76 more,55 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.8,(21.2k Reviews),Public,"Pune,Maharashtra + 212 more",36 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(20.5k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
10,HCL Technologies,3.9,(17.8k Reviews),Public,Noida + 138 more,31 years old,1 Lakh+ Employees (India)
11,Amazon,4.2,(17.3k Reviews),Public,"Seattle,Washington + 363 more",28 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1050 more",29 years old,1 Lakh+ Employees (India)
13,IBM,4.2,(21.0k Reviews),Public,"Armonk,New York + 116 more",111 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.1,(15.0k Reviews),Public,"Fremont,California + 67 more",39 years old,10k-50k Employees (India)
15,Larsen & Toubro ...,4.1,(24.2k Reviews),Public,"Mumbai,Maharashtra + 516 more",84 years old,10k-50k Employees (India)
